"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"2210",7902330,"f","Rainier Valley",47.5188289667065,-122.26105641125,"House","Private room",2,1,1,1,39,500,10,1,83,23,"t",97
"2211",6249164,"t","Rainier Valley",47.5163710336965,-122.25994704025,"House","Private room",1,1,1,1,42,0,10,1,351,18,"f",99
"2212",5192122,"f","Rainier Valley",47.5104955407011,-122.260394600584,"House","Private room",3,1,1,1,79,100,20,2,306,0,"f",96
"2213",8901863,"f","Rainier Valley",47.5104156343024,-122.252230032776,"Other","Entire home/apt",2,1,1,1,118,250,125,2,365,0,"f",96
"2214",2027236,"f","Rainier Valley",47.5083942135643,-122.258238608526,"House","Private room",2,1,1,1,60,0,15,2,363,144,"f",93
"2215",3673011,"t","Rainier Valley",47.5594604472318,-122.28303397845,"House","Private room",2,1,1,1,69,95,5,1,178,55,"f",98
"2216",6577295,"f","Rainier Valley",47.5636079370449,-122.294796112548,"House","Private room",2,1,1,1,69,0,10,2,339,75,"t",95
"2217",4384000,"f","Rainier Valley",47.5881161302529,-122.292308149443,"House","Entire home/apt",5,2.5,2,4,300,0,150,1,365,1,"f",80
"2218",3147706,"f","Rainier Valley",47.560746429114,-122.283138571193,"House","Private room",3,1,1,1,65,0,10,1,362,47,"f",95
"2219",1900698,"f","Rainier Valley",47.5521979447527,-122.27984408924,"Apartment","Private room",2,1.5,1,1,50,95,0,1,313,81,"f",91
"2220",4157572,"t","Rainier Valley",47.5672688014524,-122.290147261314,"House","Private room",2,1.5,1,1,65,0,0,1,365,67,"f",98
"2221",8886847,"f","Rainier Valley",47.5584587184918,-122.28712821087,"House","Private room",2,1,1,1,100,0,0,1,365,0,"f",96
"2222",3642289,"t","Rainier Valley",47.5498474901654,-122.273214146968,"House","Private room",2,1,1,1,65,95,0,0,328,73,"f",97
"2223",3022564,"t","Rainier Valley",47.5590828542387,-122.283466103463,"Apartment","Entire home/apt",2,1,0,1,90,150,20,1,330,127,"t",98
"2224",2203983,"f","Rainier Valley",47.5608661726663,-122.286124110929,"House","Entire home/apt",2,1,0,1,80,100,25,1,3,29,"f",94
"2225",215882,"t","Rainier Valley",47.5612970384084,-122.281218607072,"House","Entire home/apt",2,1,1,1,99,125,60,2,353,179,"f",97
"2226",491958,"f","Rainier Valley",47.5605111091062,-122.278948300972,"Apartment","Entire home/apt",4,1,1,2,75,100,30,2,282,151,"f",96
"2227",190984,"f","Rainier Valley",47.5528423227395,-122.27789357074,"Apartment","Entire home/apt",2,1,1,1,110,100,75,1,354,51,"f",87
